"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"03/10/2019","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","49","3","16","59","51"
"03/11/2019","48","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","48","1",".","48","47"
"03/12/2019","45","Ozone","Colliers Mills","34-029-0006","AQS","5","45","4",".","36","39"
"03/13/2019","64","NO2","Bayonne","34-017-0006","AQS","10","47","3","19","56","64"
"03/14/2019","56","NO2","Newark Firehouse","34-013-0003","AQS","8","54","3",".","54","56"
"03/15/2019","64","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","51","1",".","64","54"
"03/16/2019","43","Ozone","Flemington","34-019-0001","AQS","3","43","0","6","39","15"
"03/17/2019","44","Ozone","RIVERHEAD","36-103-0004","AQS","5","44","1",".","36","38"
"03/18/2019","64","NO2","Bayonne","34-017-0006","AQS","9","43","3",".","33","64"
"03/19/2019","54","NO2","Newark Firehouse","34-013-0003","AQS","11","44","4","8","42","54"
"03/20/2019","61","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","49","3",".","61","61"
"03/21/2019","52","NO2","Elizabeth Lab","34-039-0004","AQS","13","45","3",".","48","52"
"03/22/2019","44","Ozone","Chester","34-027-3001","AQS","6","44","1","6","23","26"
"03/23/2019","44","Ozone","RIVERHEAD","36-103-0004","AQS","3","44","1",".","26","23"
"03/24/2019","50","Ozone","Chester","34-027-3001","AQS","5","50","1",".","31","42"
"03/25/2019","45","NO2","Queens College Near Road","36-081-0125","AQS","6","44","7","9","43","45"
"03/26/2019","44","Ozone","RIVERHEAD","36-103-0004","AQS","5","44","1",".","27","26"
"03/27/2019","45","Ozone","Colliers Mills","34-029-0006","AQS","6","45","1",".","35","42"
"03/28/2019","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","47","1","23","55","53"
"03/29/2019","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","44","3",".","59","57"
"03/30/2019","72","PM2.5","Elizabeth Lab","34-039-0004","AQS","16","71","3",".","72","56"
"03/31/2019","100","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","45","1","15","100","43"
"04/01/2019","46","NO2","Bayonne","34-017-0006","AQS","6","44","3",".","26","46"
"04/02/2019","60","NO2","Newark Firehouse","34-013-0003","AQS","15","46","4",".","34","60"
"04/03/2019","54","Ozone","RIVERHEAD","36-103-0004","AQS","7","54","3","22","46","47"
"04/04/2019","49","Ozone","Colliers Mills","34-029-0006","AQS","9","49","1",".","32","43"
"04/05/2019","41","Ozone","RIVERHEAD","36-103-0004","AQS","8","41","1",".","40","40"
"04/06/2019","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","49","1","7","53","40"
"04/07/2019","64","Ozone","Flemington","34-019-0001","AQS","11","64","1",".","53","50"
"04/08/2019","61","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","51","3",".","61","58"
"04/09/2019","65","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","38","1","20","65","37"
"04/10/2019","38","Ozone","Colliers Mills","34-029-0006","AQS","7","38","1",".","36","35"
"04/11/2019","44","NO2","Fort Lee Near Road","34-003-0010","AQS","7","42","1",".","38","44"
"04/12/2019","51","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","46","1","19","51","47"
"04/13/2019","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","47","1",".","53","46"
"04/14/2019","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","44","1",".","54","32"
"04/15/2019","46","NO2","Jersey City","34-017-1002","AQS","7","45","4","9","43","46"
"04/16/2019","49","Ozone","Colliers Mills","34-029-0006","AQS","5","49","4",".","27","34"
"04/17/2019","47","Ozone","MT NINHAM","36-079-0005","AQS","9","47","1",".","31","47"
"04/18/2019","58","Ozone","Colliers Mills","34-029-0006","AQS","10","58","3","26","53","57"
"04/19/2019","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","45","0",".","56","37"
"04/20/2019","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","45","1",".","52","26"
"04/21/2019","44","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","44","17","16","44","34"
"04/22/2019","41","Ozone","RIVERHEAD","36-103-0004","AQS","7","41","1",".","38","37"
"04/23/2019","61","Ozone","Colliers Mills","34-029-0006","AQS","5","61","1",".","43","53"
"04/24/2019","44","Ozone","Colliers Mills","34-029-0006","AQS","5","44","1","9","29","29"
"04/25/2019","44","Ozone","MILLBROOK","36-027-0007","AQS","7","44","1",".","43","38"
"04/26/2019","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","44","1",".","45","38"
"04/27/2019","47","Ozone","Colliers Mills","34-029-0006","AQS","5","47","0","8","28","25"
"04/28/2019","36","Ozone","Chester","34-027-3001","AQS","7","36","1",".","35","29"
"04/29/2019","44","Ozone","RIVERHEAD","36-103-0004","AQS","6","44","3",".","34","40"
"04/30/2019","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","46","7","13","62","40"
"05/01/2019","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","41","4",".","46","33"
"05/02/2019","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","45","4",".","62","44"
"05/03/2019","67","PM2.5","Paterson","34-031-0005","AQS","9","39","1","26","67","42"
"05/04/2019","81","PM2.5","Elizabeth Lab","34-039-0004","AQS","14","35","4",".","81","42"
"05/05/2019","40","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","35","1",".","40","27"
"05/06/2019","68","PM2.5","Paterson","34-031-0005","AQS","7","44","1","10","68","31"
"05/07/2019","54","Ozone","Rutgers University","34-023-0011","AQS","6","54","1",".","43","41"
"05/08/2019","48","NO2","Fort Lee Near Road","34-003-0010","AQS","6","42","3",".","43","48"
"05/09/2019","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","41","4","19","51","39"
"05/10/2019","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","42","1",".","54","39"
"05/11/2019","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","43","1",".","52","25"
"05/12/2019","40","Ozone","RIVERHEAD","36-103-0004","AQS","8","40","1","4","25","21"
"05/13/2019","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","43","1",".","53","35"
"05/14/2019","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","30","13",".","46","29"
"05/15/2019","42","Ozone","Chester","34-027-3001","AQS","7","42","4","9","38","40"
"05/16/2019","58","Ozone","Colliers Mills","34-029-0006","AQS","10","58","1",".","45","55"
"05/17/2019","67","Ozone","Colliers Mills","34-029-0006","AQS","11","67","3",".","60","54"
"05/18/2019","50","Ozone","Colliers Mills","34-029-0006","AQS","5","50","4",".","42","31"
"05/19/2019","61","Ozone","Rockland County","36-087-0005","AQS","6","61","3",".","51","41"
"05/20/2019","77","Ozone","Colliers Mills","34-029-0006","AQS","9","77","3",".","54","41"
"05/21/2019","37","Ozone","Colliers Mills","34-029-0006","AQS","3","37","1","13","28","18"
"05/22/2019","47","Ozone","FRESHKILLS WEST","36-085-0111","AQS","5","47","3",".","40","33"
"05/23/2019","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","42","1",".","45","31"
"05/24/2019","48","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","46","1","11","48","23"
"05/25/2019","44","Ozone","MILLBROOK","36-027-0007","AQS","5","44","1",".","26","20"
"05/26/2019","51","Ozone","BABYLON","36-103-0002","AQS","6","51","1",".","48","29"
"05/27/2019","44","Ozone","Monmouth University","34-025-0005","AQS","6","44","3","13","40","34"
"05/28/2019","56","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","37","3",".","56","46"
"05/29/2019","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33","1",".","55","35"
"05/30/2019","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","35","1","16","56","38"
"05/31/2019","100","Ozone","RIVERHEAD","36-103-0004","AQS","7","100","1",".","57","42"
"06/01/2019","71","Ozone","Rockland County","36-087-0005","AQS","10","71","3",".","59","38"
"06/02/2019","74","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","7","74","3","23","66","34"
"06/03/2019","40","Ozone","Colliers Mills","34-029-0006","AQS","5","40","3",".","32","27"
"06/04/2019","45","Ozone","Colliers Mills","34-029-0006","AQS","3","45","4",".","28","34"
"06/05/2019","97","Ozone","Rutgers University","34-023-0011","AQS","6","97","1","19","62","44"
"06/06/2019","61","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","6","61","1",".","52","28"
"06/07/2019","67","Ozone","Rutgers University","34-023-0011","AQS","7","67","1",".","55","51"
"06/08/2019","61","Ozone","Flemington","34-019-0001","AQS","7","61","1","19","51","53"
"06/09/2019","47","Ozone","Ramapo","34-031-5001","AQS","6","47","0",".","33","24"
"06/10/2019","40","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31","6",".","40","25"
"06/11/2019","39","Ozone","Colliers Mills","34-029-0006","AQS","8","39","1","7","38","25"
"06/12/2019","43","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","6","43","3",".","40","36"
"06/13/2019","40","Ozone","RIVERHEAD","36-103-0004","AQS","7","40","1",".","26","38"
"06/14/2019","37","Ozone","HOLTSVILLE","36-103-0009","AQS","7","37","3","11","36","30"
"06/15/2019","67","Ozone","Leonia","34-003-0006","AQS","6","67","1",".","38","31"
"06/16/2019","60","PM2.5","Newark Firehouse","34-013-0003","AQS","6","50","21",".","60","25"
"06/17/2019","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","44","3","15","54","41"
"06/18/2019","68","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","43","3",".","68","46"
"06/19/2019","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","38","3",".","54","33"
"06/20/2019","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","36","3","16","55","32"
"06/21/2019","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31","3",".","39","29"
"06/22/2019","37","PM2.5","Jersey City Firehouse","34-017-1003","AQS","3","28","1",".","37","19"
"06/23/2019","40","Ozone","Colliers Mills","34-029-0006","AQS","5","40","3","6","29","22"
"06/24/2019","67","Ozone","Rutgers University","34-023-0011","AQS","6","67","3",".","50","37"
"06/25/2019","61","PM2.5","PS 19","36-061-0128","AQS","6","44","3",".","61","42"
"06/26/2019","108","Ozone","BABYLON","36-103-0002","AQS","5","108","3","16","55","54"
"06/27/2019","105","Ozone","BABYLON","36-103-0002","AQS","6","105","3",".","59","41"
"06/28/2019","150","Ozone","Leonia","34-003-0006","AQS","6","150","3",".","53","44"
"06/29/2019","126","Ozone","RIVERHEAD","36-103-0004","AQS","6","126","3","16","67","31"
"06/30/2019","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","40","4",".","46","21"
"07/01/2019","47","Ozone","Monmouth University","34-025-0005","AQS","5","47","3",".","41","26"
"07/02/2019","150","Ozone","Colliers Mills","34-029-0006","AQS","7","150","3","22","59","35"
"07/03/2019","129","Ozone","BABYLON","36-103-0002","AQS","7","129","4",".","62","46"
"07/04/2019","122","Ozone","Ramapo","34-031-5001","AQS","8","122","6",".","83","46"
"07/05/2019","100","Ozone","Rockland County","36-087-0005","AQS","6","100","4","15","73","30"
"07/06/2019","58","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","49","3",".","58","32"
"07/07/2019","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","38","4",".","53","19"
"07/08/2019","54","PM2.5","Paterson","34-031-0005","AQS","6","40","3","20","54","38"
"07/09/2019","100","Ozone","BABYLON","36-103-0002","AQS","6","100","4",".","56","42"
"07/10/2019","112","Ozone","Rutgers University","34-023-0011","AQS","6","112","23",".","60","42"
"07/11/2019","90","Ozone","MILLBROOK","36-027-0007","AQS","6","90","3","17","56","38"
"07/12/2019","51","Ozone","RIVERHEAD","36-103-0004","AQS","7","51","3",".","40","21"
"07/13/2019","80","Ozone","Colliers Mills","34-029-0006","AQS","7","80","4",".","46","23"
"07/14/2019","64","Ozone","RIVERHEAD","36-103-0004","AQS","7","64","7","18","50","25"
"07/15/2019","61","Ozone","BABYLON","36-103-0002","AQS","6","61","1","14","33","34"
"07/16/2019","136","Ozone","Flax Pond","36-103-0044","AQS","8","136","4",".","55","42"
"07/17/2019","108","Ozone","Flax Pond","36-103-0044","AQS","7","108","4","19","65","37"
"07/18/2019","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","45","4",".","53","43"
"07/19/2019","93","Ozone","WHITE PLAINS","36-119-2004","AQS","6","93","3",".","63","31"
"07/20/2019","97","Ozone","BABYLON","36-103-0002","AQS","6","97","4","23","61","28"
"07/21/2019","84","Ozone","BABYLON","36-103-0002","AQS","6","84","6",".","58","22"
"07/22/2019","71","Ozone","Flemington","34-019-0001","AQS","6","71","4",".","46","34"
"07/23/2019","31","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","31","3","6","31","25"
"07/24/2019","54","Ozone","Monmouth University","34-025-0005","AQS","9","54","1",".","41","35"
"07/25/2019","58","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","9","58","1",".","52","36"
"07/26/2019","108","Ozone","Leonia","34-003-0006","AQS","9","108","1","19","56","37"
"07/27/2019","93","Ozone","Leonia","34-003-0006","AQS","9","93","1",".","56","46"
"07/28/2019","129","Ozone","Flax Pond","36-103-0044","AQS","6","129","3",".","63","23"
"07/29/2019","150","Ozone","Flax Pond","36-103-0044","AQS","7","150","4","20","71","40"
"07/30/2019","105","Ozone","Leonia","34-003-0006","AQS","7","105","3",".","74","42"
"07/31/2019","74","Ozone","Leonia","34-003-0006","AQS","7","74","3",".","66","43"
"08/01/2019","84","Ozone","Rutgers University","34-023-0011","AQS","7","84","1","18","55","50"
"08/02/2019","80","Ozone","Rockland County","36-087-0005","AQS","8","80","1",".","60","47"
"08/03/2019","87","Ozone","Leonia","34-003-0006","AQS","6","87","1",".","52","27"
"08/04/2019","90","Ozone","Monmouth University","34-025-0005","AQS","8","90","1","11","45","38"
"08/05/2019","80","Ozone","Ramapo","34-031-5001","AQS","10","80","4",".","52","29"
"08/06/2019","61","Ozone","Flemington","34-019-0001","AQS","8","61","6",".","60","37"
"08/07/2019","58","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","47","1","21","58","37"
"08/08/2019","97","Ozone","Flax Pond","36-103-0044","AQS","7","97","1",".","54","42"
"08/09/2019","51","Ozone","Colliers Mills","34-029-0006","AQS","7","51","1",".","42","37"
"08/10/2019","37","Ozone","Colliers Mills","34-029-0006","AQS","7","37","1","7","32","26"
"08/11/2019","38","Ozone","Monmouth University","34-025-0005","AQS","6","38","1",".","28","31"
"08/12/2019","67","Ozone","Flax Pond","36-103-0044","AQS","7","67","3",".","44","38"
"08/13/2019","70","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","44","3","20","70","34"
"08/14/2019","71","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","47","3",".","71","47"
"08/15/2019","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","47","1",".","59","37"
"08/16/2019","51","PM2.5","Toms River","34-029-2002","AQS","7","48","1","16","51","34"
"08/17/2019","71","Ozone","Ramapo","34-031-5001","AQS","15","71","1",".","49","28"
"08/18/2019","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","54","1",".","56","32"
"08/19/2019","71","Ozone","Flax Pond","36-103-0044","AQS","8","71","1","27","52","34"
"08/20/2019","90","Ozone","Leonia","34-003-0006","AQS","6","90","1",".","50","35"
"08/21/2019","59","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","54","1",".","59","38"
"08/22/2019","97","Ozone","BABYLON","36-103-0002","AQS","8","97","1","11","48","27"
"08/23/2019","37","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","33","1",".","37","31"
"08/24/2019","37","Ozone","Monmouth University","34-025-0005","AQS","9","37","1",".","25","28"
"08/25/2019","29","Ozone","Rutgers University","34-023-0011","AQS","13","29","4","8","27","13"
"08/26/2019","42","Ozone","Flemington","34-019-0001","AQS","8","42","0",".","30","22"
"08/27/2019","42","Ozone","Rockland County","36-087-0005","AQS","7","42","1",".","41","32"
"08/28/2019","40","PM2.5","Newark Firehouse","34-013-0003","AQS","11","31","1",".","40","32"
"08/29/2019","44","Ozone","Colliers Mills","34-029-0006","AQS","11","44","1",".","32","36"
"08/30/2019","84","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","10","84","1",".","48","33"
"08/31/2019","80","Ozone","Colliers Mills","34-029-0006","AQS","10","80","1","12","39","36"
"09/01/2019","40","Ozone","Flemington","34-019-0001","AQS","6","40","1",".","31","14"
"09/02/2019","42","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","35","1",".","42","26"
"09/03/2019","58","Ozone","Flemington","34-019-0001","AQS","6","58","1","11","46","41"
"09/04/2019","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","51","1",".","54","36"
"09/05/2019","40","NO2","Newark Firehouse","34-013-0003","AQS","7","35","1",".","28","40"
"09/06/2019","35","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","31","9","11","35","33"
"09/07/2019","36","Ozone","Colliers Mills","34-029-0006","AQS","5","36","1",".","30","28"
"09/08/2019","42","Ozone","Monmouth University","34-025-0005","AQS","7","42","1",".","37","26"
"09/09/2019","42","Ozone","Rockland County","36-087-0005","AQS","7","42","1","10","31","37"
"09/10/2019","40","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","40","6",".","40","34"
"09/11/2019","80","Ozone","Rutgers University","34-023-0011","AQS","6","80","3",".","55","45"
"09/12/2019","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","45","1","16","57","38"
"09/13/2019","30","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","30","1",".","30","24"
"09/14/2019","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","34","0",".","43","27"
"09/15/2019","54","Ozone","BABYLON","36-103-0002","AQS","6","54","1","9","40","41"
"09/16/2019","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","44","1",".","45","42"
"09/17/2019","43","Ozone","Colliers Mills","34-029-0006","AQS","9","43","3",".","31","34"
"09/18/2019","34","NO2","Jersey City","34-017-1002","AQS","9","32","10","15","31","34"
"09/19/2019","46","NO2","Newark Firehouse","34-013-0003","AQS","8","42","1",".","40","46"
"09/20/2019","74","Ozone","Flax Pond","36-103-0044","AQS","6","74","1",".","51","45"
"09/21/2019","84","Ozone","Bayonne","34-017-0006","AQS","7","84","3","31","55","48"
"09/22/2019","101","Ozone","MT NINHAM","36-079-0005","AQS","9","101","1",".","66","40"
"09/23/2019","100","Ozone","Rutgers University","34-023-0011","AQS","6","100","1",".","62","39"
"09/24/2019","41","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","33","1","11","41","29"
"09/25/2019","48","Ozone","Flemington","34-019-0001","AQS","6","48","4",".","36","48"
"09/26/2019","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","45","1",".","53","45"
"09/27/2019","42","Ozone","Flemington","34-019-0001","AQS","7","42","3","12","41","35"
"09/28/2019","57","PM2.5","Newark Firehouse","34-013-0003","AQS","6","50","1",".","57","33"
"09/29/2019","40","Ozone","Monmouth University","34-025-0005","AQS","8","40","0",".","36","34"
"09/30/2019","31","Ozone","MT NINHAM","36-079-0005","AQS","5","31","1","15","29","26"
"10/01/2019","46","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","46","1",".","46","29"
"10/02/2019","58","Ozone","Colliers Mills","34-029-0006","AQS","5","58","3",".","56","33"
"10/03/2019","30","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","24","0","6","30","25"
"10/04/2019","44","NO2","Fort Lee Near Road","34-003-0010","AQS","6","31","0",".","28","44"
"10/05/2019","39","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","32","1",".","39","21"
"10/06/2019","42","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","35","0","16","42","31"
"10/07/2019","36","Ozone","Rutgers University","34-023-0011","AQS","5","36","0",".","33","33"
"10/08/2019","31","Ozone","RIVERHEAD","36-103-0004","AQS","5","31","1",".","30","27"
"10/09/2019","29","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","21","0","6","29","21"
"10/10/2019","39","PM2.5","Fort Lee Near Road","34-003-0010","AQS","3","35","1",".","39","24"
"10/11/2019","34","Ozone","Flemington","34-019-0001","AQS","5","34","1",".","22","21"
"10/12/2019","39","NO2","Jersey City","34-017-1002","AQS","7","33","1","10","30","39"
"10/13/2019","33","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","33","1",".","33","25"
"10/14/2019","45","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","44","3",".","45","38"
"10/15/2019","39","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","34","1","10","39","36"
